time,setpoint,velocity,error,control
3.520,100.00,100.7746,-1.1640,8.1693
3.530,100.00,101.1591,-0.7746,12.0000
3.540,100.00,100.7696,-1.1591,8.1685
3.550,100.00,101.1542,-0.7696,12.0000
3.560,100.00,100.7646,-1.1542,8.1676
3.570,100.00,101.1493,-0.7646,12.0000
3.580,100.00,100.7597,-1.1493,8.1668
3.590,100.00,101.1445,-0.7597,12.0000
3.600,100.00,100.7548,-1.1445,8.1659
3.610,100.00,101.1397,-0.7548,12.0000
3.620,100.00,100.7499,-1.1397,8.1651
3.630,100.00,101.1349,-0.7499,12.0000
3.640,100.00,100.7451,-1.1349,8.1642
3.650,100.00,101.1302,-0.7451,12.0000
3.660,100.00,100.7402,-1.1302,8.1634
3.670,100.00,101.1254,-0.7402,12.0000
3.680,100.00,100.7354,-1.1254,8.1626
3.690,100.00,101.1207,-0.7354,12.0000
3.700,100.00,100.7307,-1.1207,8.1617
3.710,100.00,101.1161,-0.7307,12.0000
3.720,100.00,100.7259,-1.1161,8.1609
3.730,100.00,101.1114,-0.7259,12.0000
3.740,100.00,100.7212,-1.1114,8.1601
3.750,100.00,101.1068,-0.7212,12.0000
3.760,100.00,100.7165,-1.1068,8.1593
3.770,100.00,101.1021,-0.7165,12.0000
3.780,100.00,100.7118,-1.1021,8.1585
3.790,100.00,101.0976,-0.7118,12.0000
3.800,100.00,100.7071,-1.0976,8.1576
3.810,100.00,101.0930,-0.7071,12.0000
3.820,100.00,100.7025,-1.0930,8.1568
3.830,100.00,101.0885,-0.7025,12.0000
3.840,100.00,100.6979,-1.0885,8.1560
3.850,100.00,101.0839,-0.6979,12.0000
3.860,100.00,100.6933,-1.0839,8.1552
3.870,100.00,101.0794,-0.6933,12.0000
3.880,100.00,100.6887,-1.0794,8.1545
3.890,100.00,101.0750,-0.6887,12.0000
3.900,100.00,100.6842,-1.0750,8.1537
3.910,100.00,101.0705,-0.6842,12.0000
3.920,100.00,100.6797,-1.0705,8.1529
3.930,100.00,101.0661,-0.6797,12.0000
3.940,100.00,100.6752,-1.0661,8.1521
3.950,100.00,101.0617,-0.6752,12.0000
3.960,100.00,100.6707,-1.0617,8.1513
3.970,100.00,101.0573,-0.6707,12.0000
3.980,100.00,100.6663,-1.0573,8.1506
3.990,100.00,101.0529,-0.6663,12.0000
4.000,100.00,100.6618,-1.0529,8.1498
4.010,100.00,101.0486,-0.6618,12.0000
4.020,100.00,100.6574,-1.0486,8.1490
4.030,100.00,101.0443,-0.6574,12.0000
4.040,100.00,100.6531,-1.0443,8.1483
4.050,100.00,101.0400,-0.6531,12.0000
4.060,100.00,100.6487,-1.0400,8.1475
4.070,100.00,101.0357,-0.6487,12.0000
4.080,100.00,100.6444,-1.0357,8.1468
4.090,100.00,101.0315,-0.6444,12.0000
4.100,100.00,100.6401,-1.0315,8.1460
4.110,100.00,101.0273,-0.6401,12.0000
4.120,100.00,100.6358,-1.0273,8.1453
4.130,100.00,101.0230,-0.6358,12.0000
4.140,100.00,100.6315,-1.0230,8.1445
4.150,100.00,101.0189,-0.6315,12.0000
4.160,100.00,100.6272,-1.0189,8.1438
4.170,100.00,101.0147,-0.6272,12.0000
4.180,100.00,100.6230,-1.0147,8.1431
4.190,100.00,101.0106,-0.6230,12.0000
4.200,100.00,100.6188,-1.0106,8.1423
4.210,100.00,101.0064,-0.6188,12.0000
4.220,100.00,100.6146,-1.0064,8.1416
4.230,100.00,101.0023,-0.6146,12.0000
4.240,100.00,100.6105,-1.0023,8.1409
4.250,100.00,100.9983,-0.6105,12.0000
4.260,100.00,100.6063,-0.9983,8.1402
4.270,100.00,100.9942,-0.6063,12.0000
4.280,100.00,100.6022,-0.9942,8.1395
4.290,100.00,100.9902,-0.6022,12.0000
4.300,100.00,100.5981,-0.9902,8.1387
4.310,100.00,100.9861,-0.5981,12.0000
4.320,100.00,100.5940,-0.9861,8.1380
4.330,100.00,100.9822,-0.5940,12.0000
4.340,100.00,100.5900,-0.9822,8.1373
4.350,100.00,100.9782,-0.5900,12.0000
4.360,100.00,100.5859,-0.9782,8.1366
4.370,100.00,100.9742,-0.5859,12.0000
4.380,100.00,100.5819,-0.9742,8.1359
4.390,100.00,100.9703,-0.5819,12.0000
4.400,100.00,100.5779,-0.9703,8.1352
4.410,100.00,100.9664,-0.5779,12.0000
4.420,100.00,100.5740,-0.9664,8.1346
4.430,100.00,100.9625,-0.5740,12.0000
4.440,100.00,100.5700,-0.9625,8.1339
4.450,100.00,100.9586,-0.5700,12.0000
4.460,100.00,100.5661,-0.9586,8.1332
4.470,100.00,100.9547,-0.5661,12.0000
4.480,100.00,100.5621,-0.9547,8.1325
4.490,100.00,100.9509,-0.5621,12.0000
4.500,100.00,100.5583,-0.9509,8.1318
4.510,100.00,100.9471,-0.5583,12.0000
4.520,100.00,100.5544,-0.9471,8.1312
4.530,100.00,100.9433,-0.5544,12.0000
4.540,100.00,100.5505,-0.9433,8.1305
4.550,100.00,100.9395,-0.5505,12.0000
4.560,100.00,100.5467,-0.9395,8.1298
4.570,100.00,100.9358,-0.5467,12.0000
4.580,100.00,100.5429,-0.9358,8.1292
4.590,100.00,100.9320,-0.5429,12.0000
4.600,100.00,100.5391,-0.9320,8.1285
4.610,100.00,100.9283,-0.5391,12.0000
4.620,100.00,100.5353,-0.9283,8.1279
4.630,100.00,100.9246,-0.5353,12.0000
4.640,100.00,100.5315,-0.9246,8.1272
4.650,100.00,100.9209,-0.5315,12.0000
4.660,100.00,100.5278,-0.9209,8.1266
4.670,100.00,100.9172,-0.5278,12.0000
4.680,100.00,100.5241,-0.9172,8.1259
4.690,100.00,100.9136,-0.5241,12.0000
4.700,100.00,100.5204,-0.9136,8.1253
4.710,100.00,100.9100,-0.5204,12.0000
4.720,100.00,100.5167,-0.9100,8.1246
4.730,100.00,100.9064,-0.5167,12.0000
4.740,100.00,100.5130,-0.9064,8.1240
4.750,100.00,100.9028,-0.5130,12.0000
4.760,100.00,100.5094,-0.9028,8.1234
4.770,100.00,100.8992,-0.5094,12.0000
4.780,100.00,100.5058,-0.8992,8.1227
4.790,100.00,100.8956,-0.5058,12.0000
4.800,100.00,100.5022,-0.8956,8.1221
4.810,100.00,100.8921,-0.5022,12.0000
4.820,100.00,100.4986,-0.8921,8.1215
4.830,100.00,100.8886,-0.4986,12.0000
4.840,100.00,100.4950,-0.8886,8.1209
4.850,100.00,100.8851,-0.4950,12.0000
4.860,100.00,100.4914,-0.8851,8.1202
4.870,100.00,100.8816,-0.4914,12.0000
4.880,100.00,100.4879,-0.8816,8.1196
4.890,100.00,100.8782,-0.4879,12.0000
4.900,100.00,100.4844,-0.8782,8.1190
4.910,100.00,100.8747,-0.4844,12.0000
4.920,100.00,100.4809,-0.8747,8.1184
4.930,100.00,100.8713,-0.4809,12.0000
4.940,100.00,100.4774,-0.8713,8.1178
4.950,100.00,100.8679,-0.4774,12.0000
4.960,100.00,100.4740,-0.8679,8.1172
4.970,100.00,100.8645,-0.4740,12.0000
4.980,100.00,100.4705,-0.8645,8.1166
4.990,100.00,100.8611,-0.4705,12.0000
5.000,100.00,71.8439,29.1389,12.0000
5.010,100.00,72.8070,28.1561,12.0000
5.020,100.00,73.7509,27.1930,12.0000
5.030,100.00,74.6758,26.2491,12.0000
5.040,100.00,75.5823,25.3242,12.0000
5.050,100.00,76.4707,24.4177,12.0000
5.060,100.00,77.3413,23.5293,12.0000
5.070,100.00,78.1944,22.6587,12.0000
5.080,100.00,79.0305,21.8056,12.0000
5.090,100.00,79.8499,20.9695,12.0000
5.100,100.00,80.6529,20.1501,12.0000
5.110,100.00,81.4399,19.3471,12.0000
5.120,100.00,82.2111,18.5601,12.0000
5.130,100.00,82.9669,17.7889,12.0000
5.140,100.00,83.7075,17.0331,12.0000
5.150,100.00,84.4334,16.2925,12.0000
5.160,100.00,85.1447,15.5666,12.0000
5.170,100.00,85.8418,14.8553,12.0000
5.180,100.00,86.5250,14.1582,12.0000
5.190,100.00,87.1945,13.4750,12.0000
5.200,100.00,87.8506,12.8055,12.0000
5.210,100.00,88.4936,12.1494,12.0000
5.220,100.00,89.1237,11.5064,12.0000
5.230,100.00,89.7412,10.8763,12.0000
5.240,100.00,90.3464,10.2588,12.0000
5.250,100.00,90.9395,9.6536,12.0000
5.260,100.00,91.5207,9.0605,12.0000
5.270,100.00,92.0903,8.4793,12.0000
5.280,100.00,92.6485,7.9097,12.0000
5.290,100.00,93.1955,7.3515,12.0000
5.300,100.00,93.7316,6.8045,12.0000
5.310,100.00,94.2570,6.2684,12.0000
5.320,100.00,94.7718,5.7430,12.0000
5.330,100.00,95.2764,5.2282,12.0000
5.340,100.00,95.7709,4.7236,12.0000
5.350,100.00,96.2554,4.2291,12.0000
5.360,100.00,96.7303,3.7446,12.0000
5.370,100.00,97.1957,3.2697,12.0000
5.380,100.00,97.6518,2.8043,12.0000
5.390,100.00,98.0988,2.3482,12.0000
5.400,100.00,98.5368,1.9012,12.0000
5.410,100.00,98.9661,1.4632,12.0000
5.420,100.00,99.3867,1.0339,12.0000
5.430,100.00,99.7990,0.6133,12.0000
5.440,100.00,100.2030,0.2010,12.0000
5.450,100.00,100.5990,-0.2030,12.0000
5.460,100.00,100.8715,-0.5990,11.4226
5.470,100.00,101.2541,-0.8715,12.0000
5.480,100.00,101.2761,-1.2541,10.2354
5.490,100.00,101.6505,-1.2761,12.0000
5.500,100.00,101.5193,-1.6505,9.5087
5.510,100.00,101.8889,-1.5193,12.0000
5.520,100.00,101.6639,-1.8889,9.0636
5.530,100.00,102.0306,-1.6639,12.0000
5.540,100.00,101.7481,-2.0306,8.7907
5.550,100.00,102.1131,-1.7481,12.0000
5.560,100.00,101.7955,-2.1131,8.6231
5.570,100.00,102.1596,-1.7955,12.0000
5.580,100.00,101.8204,-2.1596,8.5199
5.590,100.00,102.1840,-1.8204,12.0000
5.600,100.00,101.8315,-2.1840,8.4561
5.610,100.00,102.1949,-1.8315,12.0000
5.620,100.00,101.8343,-2.1949,8.4164
5.630,100.00,102.1976,-1.8343,12.0000
5.640,100.00,101.8319,-2.1976,8.3914
5.650,100.00,102.1953,-1.8319,12.0000
5.660,100.00,101.8265,-2.1953,8.3754
5.670,100.00,102.1899,-1.8265,12.0000
5.680,100.00,101.8191,-2.1899,8.3649
5.690,100.00,102.1827,-1.8191,12.0000
5.700,100.00,101.8106,-2.1827,8.3578
5.710,100.00,102.1744,-1.8106,12.0000
5.720,100.00,101.8015,-2.1744,8.3528
5.730,100.00,102.1655,-1.8015,12.0000
5.740,100.00,101.7920,-2.1655,8.3491
5.750,100.00,102.1561,-1.7920,12.0000
5.760,100.00,101.7822,-2.1561,8.3461
5.770,100.00,102.1466,-1.7822,12.0000
5.780,100.00,101.7724,-2.1466,8.3436
5.790,100.00,102.1369,-1.7724,12.0000
5.800,100.00,101.7625,-2.1369,8.3414
5.810,100.00,102.1272,-1.7625,12.0000
5.820,100.00,101.7526,-2.1272,8.3394
5.830,100.00,102.1175,-1.7526,12.0000
5.840,100.00,101.7427,-2.1175,8.3375
